Ciclo,Cultivo,Calendario,Año_EVA,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Transitorio,Papa,Cosechas,2022,6.48,8.97,9.81,6.2,5.18,11.6,11.02,10.42,9.39,7.47,5.35,8.1
Transitorio,Papa,Siembras,2022,9.13,11.81,10.48,10.07,5.67,4.63,10.18,8.88,9.89,8.81,6.67,3.76
Permanente,Papaya,Cosechas,2022,6.12,6.95,8.51,10.34,10.32,8.17,12.09,7.74,6.02,6.86,9.16,7.71
Permanente,Papaya,Siembras,2022,12.81,12.81,22.67,13,7.68,3.89,4.92,8.97,5.39,5.41,2.3,0.15
Transitorio,Patilla,Cosechas,2022,7.07,9.72,12.91,6.14,6.93,5.11,10.88,8.53,5.24,8.42,8.15,10.89
Transitorio,Patilla,Siembras,2022,25.02,8.48,8.97,13.18,9.8,4.12,4.25,4.4,5.19,6.5,5.93,4.17
Transitorio,Pepino cohombro,Cosechas,2022,8.79,8.67,6.06,5.87,8.7,6.88,6.6,8.04,8.11,9.08,9.01,14.19
Transitorio,Pepino cohombro,Siembras,2022,3.96,5.99,12.68,11.53,8.16,6.01,6.82,8.24,12.19,12.09,8.08,4.25
Transitorio,Pepino guiso,Cosechas,2022,8.67,17.1,5.51,3.52,7.91,3.29,12.97,4.61,16.24,2.12,11.87,6.19
Transitorio,Pepino guiso,Siembras,2022,7.09,6.16,17.77,11.85,14.69,2.33,11.69,5.1,11.81,3.59,7.53,0.4
Permanente,Pera,Cosechas,2022,7.27,14.53,24.47,18.01,8.2,5.53,0.19,0,0,0,7.27,14.53
Permanente,Pera,Siembras,2022,0,0,5.45,18.91,18.91,28.36,28.36,0,0,0,0,0
Transitorio,Perejil,Cosechas,2022,5.94,5.94,2.43,0,1.02,19.56,19.41,18.54,0,10.5,4.38,12.29
Transitorio,Perejil,Siembras,2022,0,0,14.99,14.99,14.83,0,10.09,16.68,13.39,6.79,5.34,2.91
Transitorio,Pimentón,Cosechas,2022,6.25,5.1,5.13,5.36,12.17,7.75,10.92,9.2,7.05,10.27,10.87,9.93
Transitorio,Pimentón,Siembras,2022,8.16,9.94,11.87,12.14,12.41,7.08,6.87,6.37,8.17,6.56,4.64,5.8
Permanente,Pimienta,Cosechas,2022,0,0,0,0,0,0,2.17,0,54.48,3.91,37.77,1.68
Permanente,Pimienta,Siembras,2022,0,40,0,8.4,28.8,8.4,14.4,0,0,0,0,0
Permanente,Piña,Cosechas,2022,5.15,6.13,8.05,7.79,16.78,6.5,6.04,5.18,6.59,6.57,12.32,12.89
Permanente,Piña,Siembras,2022,8.04,11.79,20.54,21.92,8.94,5.56,4.89,4.2,4.5,2.18,6.39,1.07
Permanente,Pitahaya,Cosechas,2022,2.44,3.94,18.76,14.53,7.07,1.79,4.71,2.62,15.31,19.44,7.43,1.96
Permanente,Pitahaya,Siembras,2022,2,4.72,6.78,25.43,20.28,4.39,5.24,3.8,11.92,9.86,4.26,1.34
